key,code,department,description,email,heading,instantiation-moment,link,confirmation
claim-01,C-1234,department,description,,heading,2020/03/14 15:32,,1
claim-02,C-4321,department,description,,heading,2020/03/14 15:32,,1
claim-03,C-5275,department,description,,heading,2020/03/14 15:32,,1
claim-04,C-9999,department,description,,heading,2020/03/14 15:32,,1
claim-05,C-0000,department,description,,heading,2020/03/14 15:32,,1
claim-06,C-1235,d,description,,heading,2020/03/14 15:32,,1
claim-07,C-1236,de,description,,heading,2020/03/14 15:32,,1
claim-08,C-1237,departmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmen,description,,heading,2020/03/14 15:32,,1
claim-09,C-1238,departmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartmentdepartment,description,,heading,2020/03/14 15:32,,1
claim-10,C-1239,<script>window.location='http://www.example.com'</script>,description,,heading,2020/03/14 15:32,,1
claim-11,C-1230,отделение,description,,heading,2020/03/14 15:32,,1
claim-12,C-1231,τμήμα,description,,heading,2020/03/14 15:32,,1
claim-13,C-1232,قسم,description,,heading,2020/03/14 15:32,,1
claim-14,C-1233,部門,description,,heading,2020/03/14 15:32,,1
claim-15,C-1244,?¿^*¨`¡`´*?*´¡*^¨^¡,description,,heading,2020/03/14 15:32,,1
claim-16,C-1334,SELECT * FROM users WHERE username = '' OR 1=1,description,,heading,2020/03/14 15:32,,1
claim-17,C-1240,department,d,,heading,2020/03/14 15:32,,1
claim-18,C-1241,department,de,,heading,2020/03/14 15:32,,1
claim-19,C-1242,department,descriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescription,,heading,2020/03/14 15:32,,1
claim-20,C-1243,department,descriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescriptiondescriptiond,,heading,2020/03/14 15:32,,1
claim-21,C-1245,department,<script>window.location='http://www.example.com'</script>,,heading,2020/03/14 15:32,,1
claim-22,C-1246,department,?¿^*¨`¡`´*?*´¡*^¨^¡,,heading,2020/03/14 15:32,,1
claim-23,C-1247,department,説明,,heading,2020/03/14 15:32,,1
claim-24,C-1248,department,περιγραφή,,heading,2020/03/14 15:32,,1
claim-25,C-1249,department,وصف,,heading,2020/03/14 15:32,,1
claim-26,C-1250,department,описание,,heading,2020/03/14 15:32,,1
claim-27,C-1251,department,SELECT * FROM users WHERE username = '' OR 1=1,,heading,2020/03/14 15:32,,1
claim-28,C-1252,department,description,example@acme.com,heading,2020/03/14 15:32,,1
claim-29,C-1253,department,description,example@alum.us.es,heading,2020/03/14 15:32,,1
claim-30,C-1254,department,description,example@yahoo.es,heading,2020/03/14 15:32,,1
claim-31,C-1255,department,description,example@xunta.gal,heading,2020/03/14 15:32,,1
claim-32,C-1256,department,description,exampleempleexleexampleexampleexaexampleexampleexampleeleexample@gmail.com,heading,2020/03/14 15:32,,1
claim-33,C-1384,department,description,exampleempleexleexampleexampleexaexampleexampleexampleeleexampl@gmail.com,heading,2020/03/14 15:32,,1
claim-34,C-1385,department,description,exampleempleexleexampleexampleexaexampleexampleexampleeleexample@gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmaill.com,heading,2020/03/14 15:32,,1
claim-35,C-1386,department,description,exampleempleexleexampleexampleexaexampleexampleexampleeleexample@gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.gmail.com,heading,2020/03/14 15:32,,1
claim-36,C-1258,department,description,,h,2020/03/14 15:32,,1
claim-37,C-1259,department,description,,he,2020/03/14 15:32,,1
claim-38,C-1260,department,description,,headingheadingheadingheadingheadingheadingheadingheadingheadingheadinghead,2020/03/14 15:32,,1
claim-39,C-1261,department,description,,headingheadingheadingheadingheadingheadingheadingheadingheadingheadingheadi,2020/03/14 15:32,,1
claim-40,C-1262,department,description,,<script>window.location='http://www.example.com'</script>,2020/03/14 15:32,,1
claim-41,C-1263,department,description,,?¿^*¨`¡`´*?*´¡*^¨^¡,2020/03/14 15:32,,1
claim-42,C-1264,department,description,,заголовок,2020/07/30 00:00,,1
claim-43,C-1265,department,description,,επικεφαλίδα,2020/03/14 15:32,,1
claim-44,C-1266,department,description,,عنوان,2020/03/14 15:32,,1
claim-45,C-1267,department,description,,見出し,2020/03/14 15:32,,1
claim-46,C-1268,department,description,,SELECT * FROM users WHERE username = '' OR 1=1,2020/03/14 15:32,,1
claim-47,C-1269,department,description,,heading,2000/01/01 00:00,,1
