src/main/webapp/WEB-INF/resources/sample-data/invoices.csv
key,code,registrationTime,dueDate,invoiceQuantity,tax,link,key:sponsorship
invoice-01,IN-0001-0001,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-02,IN-9999-9999,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-03,IN-2345-2364,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-04,IN-0000-0000,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-05,IN-0001-0002,2000/01/01 00:00,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-06,IN-0001-0003,2000/01/01 00:01,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-07,IN-0001-0004,2022/07/30 00:00,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-08,IN-0001-0005,2022/07/29 23:59,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-09,IN-0001-0006,2010/12/31 23:59,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-10,IN-0001-0007,2011/01/01 00:00,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-11,IN-0001-0008,2016/02/27 23:59,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-12,IN-0001-0009,2016/02/28 00:00,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-13,IN-0001-0010,2016/02/29 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-14,IN-0001-0011,2020/03/31 23:59,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-15,IN-0001-0012,2020/04/01 00:00,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-16,IN-0001-0013,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-17,IN-0001-0014,2020/03/14 15:32,2020/04/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-18,IN-0001-0015,2020/03/14 15:32,2020/04/14 15:33,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-19,IN-0001-0016,2020/03/14 15:32,2200/12/31 23:59,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-20,IN-0001-0017,2020/03/14 15:32,2200/12/31 23:58,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-21,IN-0001-0018,2020/03/14 15:32,2023/12/31 23:59,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-22,IN-0001-0019,2020/03/14 15:32,2024/01/01 00:00,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-23,IN-0001-0020,2020/03/14 15:32,2024/02/27 23:59,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-24,IN-0001-0021,2020/03/14 15:32,2024/02/28 00:00,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-25,IN-0001-0022,2020/03/14 15:32,2024/02/29 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-26,IN-0001-0023,2020/03/14 15:32,2020/05/31 23:59,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-27,IN-0001-0024,2020/03/14 15:32,2020/06/01 00:00,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
invoice-28,IN-0001-0025,2020/03/14 15:32,2023/03/14 15:32,USD 0.01,50.00,https://example.com/invoices,sponsorship-01
invoice-29,IN-0001-0026,2020/03/14 15:32,2023/03/14 15:32,USD 0.02,50.00,https://example.com/invoices,sponsorship-01
invoice-30,IN-0001-0027,2020/03/14 15:32,2023/03/14 15:32,"USD 1,000,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-31,IN-0001-0028,2020/03/14 15:32,2023/03/14 15:32,"USD 999,999.99",50.00,https://example.com/invoices,sponsorship-01
invoice-32,IN-0001-0029,2020/03/14 15:32,2023/03/14 15:32,"USD 500,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-33,IN-0001-0030,2020/03/14 15:32,2023/03/14 15:32,"GBP 1,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-34,IN-0001-0031,2020/03/14 15:32,2023/03/14 15:32,"THB 1,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-35,IN-0001-0032,2020/03/14 15:32,2023/03/14 15:32,"CAD 1,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-36,IN-0001-0033,2020/03/14 15:32,2023/03/14 15:32,"EUR 1,000.00",50.00,https://example.com/invoices,sponsorship-01
invoice-37,IN-0001-0034,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",00.00,https://example.com/invoices,sponsorship-01
invoice-38,IN-0001-0035,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",00.01,https://example.com/invoices,sponsorship-01
invoice-39,IN-0001-0036,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",100.00,https://example.com/invoices,sponsorship-01
invoice-40,IN-0001-0037,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",99.99,https://example.com/invoices,sponsorship-01
invoice-41,IN-0001-0038,2020/03/14 15:32,2023/03/14 15:32,"USD 500,345.00",50.00,https://example.com/invoices,sponsorship-01
